a e inc Omega argPeri meanAnomaly H j type inner outer epoch objId g sed_filename
44.236000000000004 0.182 28.109 51.44 244.298 288.191 8.42 43.13 classical m h 53157.0 0 0.15 TNO.dat
55.066 0.284 17.996 15.225999999999999 227.946 226.554 8.31 67.61 classical o 0 53157.0 1 0.15 TNO.dat
44.71 0.10800000000000001 5.966 85.787 80.317 330.394 7.98 40.66 classical m s 53157.0 2 0.15 TNO.dat
45.006 0.133 4.486000000000001 160.498 205.155 221.74099999999999 8.33 49.77 classical m s 53157.0 3 0.15 TNO.dat
55.244 0.54 19.464000000000002 147.566 30.840999999999998 18.338 6.93 31.4 resonant 5 2 53157.0 4 0.15 TNO.dat
38.288000000000004 0.06 27.611 59.846000000000004 250.888 5.877000000000001 8.5 36.01 classical i 0 53157.0 5 0.15 TNO.dat
52.897 0.297 13.664000000000001 282.92 76.313 58.3 8.1 48.76 resonant 7 3 53157.0 6 0.15 TNO.dat
38.775999999999996 0.064 4.6819999999999995 343.585 290.877 212.174 8.31 40.9 classical i 0 53157.0 7 0.15 TNO.dat
45.335 0.048 1.764 3.445 162.136 36.311 8.38 43.63 classical m s 53157.0 8 0.15 TNO.dat
43.297 0.13699999999999998 16.78 11.558 219.481 132.142 8.31 47.66 classical m h 53157.0 9 0.15 TNO.dat
42.346000000000004 0.083 10.091000000000001 284.732 278.876 111.15 8.26 43.85 resonant 5 3 53157.0 10 0.15 TNO.dat
43.89 0.13 4.303 230.835 191.06400000000002 25.538 7.15 38.9 resonant 7 4 53157.0 11 0.15 TNO.dat
64.798 0.382 41.336999999999996 243.27900000000002 209.52700000000002 164.976 8.19 89.09 classical o 0 53157.0 12 0.15 TNO.dat
174.11700000000002 0.77 22.913 134.908 264.986 24.089000000000002 7.96 114.51 classical o 0 53157.0 13 0.15 TNO.dat
43.617 0.11599999999999999 10.296 77.492 102.62899999999999 303.76599999999996 7.93 41.24 resonant 7 4 53157.0 14 0.15 TNO.dat
44.18 0.028999999999999998 2.653 23.04 155.13299999999998 30.737 7.63 43.09 classical m s 53157.0 15 0.15 TNO.dat
46.726000000000006 0.212 29.301 214.05 209.236 346.921 8.25 37.24 classical m h 53157.0 16 0.15 TNO.dat
40.395 0.015 25.085 107.33 80.975 339.986 8.5 39.81 classical m h 53157.0 17 0.15 TNO.dat
86.839 0.5379999999999999 39.279 185.753 272.492 163.314 8.48 132.69 classical o 0 53157.0 18 0.15 TNO.dat
79.068 0.551 23.802 183.34900000000002 14.306 147.84 8.01 119.79 classical o 0 53157.0 19 0.15 TNO.dat
67.255 0.445 27.331 55.11600000000001 330.358 110.03 7.21 86.37 classical o 0 53157.0 20 0.15 TNO.dat
62.398999999999994 0.34299999999999997 10.584000000000001 17.26 72.806 67.39699999999999 7.49 61.28 resonant 3 1 53157.0 21 0.15 TNO.dat
44.041000000000004 0.07200000000000001 5.942 82.77 108.066 248.543 8.33 45.4 classical m s 53157.0 22 0.15 TNO.dat
43.839 0.048 4.537 103.743 61.233000000000004 359.39599999999996 8.43 41.73 classical m s 53157.0 23 0.15 TNO.dat
72.072 0.46799999999999997 5.061 150.595 292.302 258.121 8.32 91.0 classical o 0 53157.0 24 0.15 TNO.dat
37.403 0.03 24.335 27.383000000000003 357.68 317.892 8.47 36.57 classical i 0 53157.0 25 0.15 TNO.dat
60.318999999999996 0.401 12.62 194.674 16.121 164.505 8.46 84.08 classical o 0 53157.0 26 0.15 TNO.dat
46.556999999999995 0.19899999999999998 30.79 101.64200000000001 101.21 199.169 8.16 55.45 classical m h 53157.0 27 0.15 TNO.dat
44.82 0.10099999999999999 21.893 205.403 46.691 207.642 7.83 48.92 classical m h 53157.0 28 0.15 TNO.dat
44.1 0.07200000000000001 1.702 119.49700000000001 207.94099999999997 205.487 8.31 47.01 classical m k 53157.0 29 0.15 TNO.dat
45.994 0.109 4.216 63.347 56.775 225.662 7.38 49.76 classical m s 53157.0 30 0.15 TNO.dat
293.04400000000004 0.8759999999999999 12.914000000000001 329.713 257.061 164.778 8.29 547.32 classical o 0 53157.0 31 0.15 TNO.dat
79.88 0.5479999999999999 23.939 100.94200000000001 151.69799999999998 199.493 6.79 122.61 classical o 0 53157.0 32 0.15 TNO.dat
56.644 0.319 25.616999999999997 133.703 169.44400000000002 117.20200000000001 7.9 68.5 classical o 0 53157.0 33 0.15 TNO.dat
43.997 0.040999999999999995 6.7170000000000005 150.179 192.28799999999998 333.527 6.76 42.39 classical m k 53157.0 34 0.15 TNO.dat
40.772 0.045 28.026 275.876 174.907 193.053 6.68 42.56 classical m h 53157.0 35 0.15 TNO.dat
49.221000000000004 0.24 25.36 1.0590000000000002 244.588 54.331 7.98 44.6 classical o 0 53157.0 36 0.15 TNO.dat
44.724 0.039 1.655 151.582 89.165 358.829 8.38 42.99 classical m s 53157.0 37 0.15 TNO.dat
61.512 0.365 38.186 202.075 147.737 296.595 7.99 59.25 classical o 0 53157.0 38 0.15 TNO.dat
201.88299999999998 0.7959999999999999 21.94 206.674 149.327 2.968 7.91 45.93 classical o 0 53157.0 39 0.15 TNO.dat
57.14 0.364 14.06 105.272 310.286 66.825 7.34 56.28 classical o 0 53157.0 40 0.15 TNO.dat
43.87 0.031 2.418 164.051 52.869 352.01599999999996 8.32 42.53 classical m s 53157.0 41 0.15 TNO.dat
43.464 0.022000000000000002 5.85 128.559 13.017999999999999 125.291 8.27 44.02 classical m s 53157.0 42 0.15 TNO.dat
44.06 0.037000000000000005 6.541 131.325 196.13 118.51299999999999 7.82 44.89 classical m k 53157.0 43 0.15 TNO.dat
43.22 0.038 4.016 107.51799999999999 135.954 160.72899999999998 8.47 44.78 classical m s 53157.0 44 0.15 TNO.dat
93.14299999999999 0.608 24.308000000000003 1.716 29.159000000000002 321.68 8.04 74.99 classical o 0 53157.0 45 0.15 TNO.dat
44.062 0.049 1.188 320.53700000000003 128.513 125.76799999999999 8.31 45.38 classical m k 53157.0 46 0.15 TNO.dat
88.304 0.51 11.065999999999999 68.282 281.189 329.154 8.31 62.28 resonant 5 1 53157.0 47 0.15 TNO.dat
60.24 0.35600000000000004 16.14 175.02700000000002 183.019 121.98100000000001 7.75 75.72 classical o 0 53157.0 48 0.15 TNO.dat
39.586 0.226 9.89 19.209 8.276 0.903 7.51 30.66 resonant 3 2 53157.0 49 0.15 TNO.dat
39.319 0.16399999999999998 16.758 78.046 77.237 174.705 8.12 45.74 resonant 3 2 53157.0 50 0.15 TNO.dat
41.508 0.106 29.213 209.32299999999998 336.176 148.92600000000002 8.19 45.39 classical m h 53157.0 51 0.15 TNO.dat
44.931999999999995 0.09 3.285 121.309 220.662 230.66099999999997 8.4 47.7 classical m s 53157.0 52 0.15 TNO.dat
44.038000000000004 0.049 5.744 359.314 62.291000000000004 264.193 8.39 44.36 classical m k 53157.0 53 0.15 TNO.dat
84.04899999999999 0.5760000000000001 13.633 137.83 229.011 163.588 8.05 131.68 classical o 0 53157.0 54 0.15 TNO.dat
475.976 0.919 24.866 185.485 245.283 249.391 8.33 823.53 classical o 0 53157.0 55 0.15 TNO.dat
108.993 0.644 3.392 255.37599999999998 71.102 256.3 8.39 155.41 classical o 0 53157.0 56 0.15 TNO.dat
165.59599999999998 0.7609999999999999 31.206 314.933 266.314 32.279 8.37 131.36 classical o 0 53157.0 57 0.15 TNO.dat
136.66899999999998 0.728 40.063 353.25699999999995 241.06599999999997 338.675 7.94 80.79 classical o 0 53157.0 58 0.15 TNO.dat
39.604 0.253 8.056000000000001 350.339 236.85299999999998 1.905 8.37 29.6 resonant 3 2 53157.0 59 0.15 TNO.dat
54.867 0.313 17.692 142.571 5.346 205.351 8.45 71.06 classical o 0 53157.0 60 0.15 TNO.dat
83.359 0.5329999999999999 32.975 209.824 223.325 112.99799999999999 8.42 114.61 classical o 0 53157.0 61 0.15 TNO.dat
